證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
6226,121435,38,922986,7.74,7.74,7.57,7.6,0.05,7.57,21,7.6,26,190.0
6230,1704325,1359,415335650,246.0,250.5,240.5,241.5,4.5,241.5,6,242.0,2,27.82
6235,104022,46,1388643,13.5,13.5,13.3,13.35,0.15,13.35,14,13.4,9,0.0
6239,5323873,3543,470815500,87.9,89.4,87.3,87.3,0.7,87.3,367,87.5,14,12.51
6243,363202,200,3952307,11.15,11.2,10.65,10.75,0.45,10.75,14,10.85,2,0.0
6251,11369210,3525,155902512,13.65,14.0,13.4,14.0,0.65,13.95,57,14.0,1143,350.0
6257,3503757,1756,117183155,33.7,33.8,33.25,33.4,0.65,33.4,1,33.45,22,12.51
6269,2846605,2019,261847160,92.1,92.6,91.8,91.8,0.8,91.8,33,91.9,60,11.03
6271,3709724,2321,501980292,136.5,138.0,133.5,134.0,3.5,134.0,68,134.5,4,23.02
6277,100030,85,8513556,85.0,85.4,85.0,85.1,0.4,85.0,4,85.2,2,6.92
6278,5635191,3883,406246564,71.6,73.3,70.3,72.1,0.1,72.1,45,72.3,1,13.21
6281,35272,25,2346932,66.6,66.8,66.3,66.4,0.1,66.3,6,66.5,12,17.9
6282,3964285,1762,87514398,21.8,22.2,21.8,22.0,0.0,22.0,221,22.05,32,17.19
6283,461006,339,14036179,30.95,31.05,30.1,30.35,0.85,30.35,10,30.4,5,104.66
6285,2225280,1466,179395880,80.4,81.3,79.8,81.0,0.4,81.0,413,81.1,4,17.12
6288,1214700,592,25642760,21.1,21.55,20.8,20.8,0.2,20.8,44,20.85,1,20.59
6289,571999,48,358577,0.64,0.64,0.59,0.59,0.0,0.58,17,0.59,2,0.0
6405,12000,9,179350,14.95,14.95,14.9,14.95,0.1,14.8,5,14.95,1,0.0
6409,304109,87,197247305,640.0,655.0,634.0,638.0,0.0,638.0,5,641.0,1,25.01
6412,584050,438,32243290,55.7,55.8,54.8,55.5,0.2,55.2,17,55.5,15,16.82
6414,324757,293,68128470,210.5,212.0,208.0,210.0,0.0,210.0,8,210.5,1,17.36
6415,741262,742,574688670,760.0,788.0,760.0,785.0,30.0,781.0,1,785.0,4,35.68
6416,100000,85,8529200,85.0,85.9,84.6,84.6,0.4,84.6,3,85.0,1,17.62
6431,1200,2,31780,26.5,26.5,26.5,26.5,0.6,25.75,2,26.5,1,0.0
6442,55100,31,2112290,38.45,38.5,38.1,38.5,0.3,38.15,4,38.5,4,17.42
6443,811852,269,6008925,7.43,7.44,7.38,7.4,0.04,7.4,10,7.41,20,0.0
6449,1123460,783,43588758,38.85,39.5,38.25,38.75,0.25,38.65,4,38.75,5,47.84
6451,8771290,6571,1266149920,141.5,148.0,138.0,148.0,6.0,147.5,1,148.0,67,30.71
6452,970828,719,210200606,214.0,219.5,213.0,214.5,1.0,214.5,2,215.5,2,14.21
6456,2014861,1278,214897988,106.5,107.5,105.5,107.0,0.5,106.5,41,107.0,6,8.28
6464,19500,11,2103500,107.5,108.0,107.5,108.0,1.5,107.0,2,108.0,13,20.81
6477,124436,45,2686307,21.6,21.65,21.5,21.5,0.15,21.5,20,21.55,4,8.05
6491,834110,694,141487700,172.0,172.0,168.0,168.5,4.5,168.0,28,168.5,13,19.39
6504,78200,77,10871800,140.0,140.5,138.0,138.0,0.5,138.0,15,139.0,1,19.03
6505,3654551,2630,353871465,96.7,97.5,96.1,96.1,1.3,96.1,105,96.3,1,27.07
6525,384360,324,26690318,70.0,70.5,69.0,69.5,0.5,69.5,2,69.6,7,10.68
6531,76653,60,3512757,46.1,46.1,45.7,45.7,0.8,45.7,22,45.8,1,0.0
6533,677181,561,79451129,119.5,119.5,116.5,118.5,1.5,118.5,5,119.0,20,144.51
6541,397146,248,24773140,63.6,63.6,61.9,62.4,1.6,62.3,2,62.6,1,0.0
6552,2180232,1553,194241456,89.3,89.9,88.2,89.1,0.7,89.1,1,89.2,4,19.45
6558,2587753,1807,173616221,65.8,68.2,65.5,67.1,1.0,67.1,50,67.2,7,28.55
6573,39300,27,898937,23.3,23.3,22.75,22.75,0.25,22.7,5,23.0,1,0.0
6579,280390,223,19959583,73.0,73.0,70.0,71.0,2.8,71.0,1,71.5,2,24.23
6581,65200,59,5803480,89.5,89.5,88.8,89.0,0.6,88.7,1,89.0,1,14.96
6582,10000,6,521700,52.1,52.3,52.1,52.3,0.0,52.3,1,52.5,1,12.11
6591,203085,175,9201060,45.05,45.65,45.0,45.6,0.55,45.55,2,45.65,23,39.31
6605,86030,74,5384890,62.7,62.7,62.5,62.5,0.2,62.5,31,62.8,1,11.04
6625,10100,10,489594,48.5,48.5,48.45,48.45,0.0,48.45,10,48.5,2,23.63
6641,59144,55,4109908,69.5,69.9,69.0,69.0,1.3,69.0,6,69.5,13,10.78
6655,32000,30,1287450,40.25,40.5,40.15,40.5,0.2,40.15,1,40.5,4,13.64
6666,411610,396,78506570,190.0,193.5,187.5,188.0,0.5,188.0,1,189.5,5,18.78
6668,1934650,1105,136946379,71.4,72.3,68.9,69.1,1.4,69.1,15,69.2,1,57.58
6669,2137196,2011,1030323168,478.5,490.5,472.0,485.0,4.0,485.0,22,485.5,4,15.0
6670,386400,339,70298099,181.0,184.0,180.5,180.5,1.0,180.5,2,181.0,3,12.87
6671,10000,8,391000,39.6,39.6,39.0,39.1,0.7,39.1,1,39.15,1,13.3
6672,380849,318,35323936,93.3,93.5,92.1,92.2,1.4,92.2,9,92.5,1,15.42
6674,5500,5,159150,28.9,29.0,28.9,29.0,0.0,28.9,2,28.95,2,20.57
8011,156075,86,2427575,15.65,15.65,15.5,15.5,0.2,15.5,31,15.6,8,0.0
8016,3195222,2142,558889959,176.0,178.5,173.0,174.0,1.0,174.0,3,174.5,1,20.3
8021,91099,76,1786988,19.7,19.7,19.55,19.55,0.2,19.55,19,19.65,2,11.85
8028,3263500,2301,219166098,67.4,68.0,66.7,67.6,0.5,67.6,12,67.7,8,29.39
8033,120750,80,1299424,10.9,10.9,10.65,10.75,0.05,10.7,8,10.75,9,0.0
8039,1664590,1116,68219184,40.6,41.6,40.25,41.45,0.25,41.35,6,41.45,3,12.52
8046,7654199,4046,376100708,48.8,49.7,48.65,49.0,0.0,49.0,38,49.05,9,0.0
8070,56280,56,9054300,160.5,161.5,160.0,161.0,0.0,160.0,14,161.0,4,9.44
8072,985819,617,22211285,22.65,23.25,22.2,22.25,0.05,22.25,2,22.3,18,0.0
8081,1743151,1317,213427448,123.0,124.0,121.0,121.0,0.5,121.0,79,121.5,1,15.94
8101,249269,64,642671,2.56,2.6,2.56,2.6,0.0,2.57,4,2.6,34,0.0
8103,131521,50,3344208,25.35,25.6,25.35,25.55,0.2,25.35,22,25.55,2,10.43
8104,189340,153,9882116,52.6,52.7,51.8,52.0,1.0,52.0,1,52.2,1,17.22
8105,1588099,671,22498595,14.45,14.45,14.1,14.1,0.2,14.1,31,14.15,16,14.24
8110,530192,291,4883052,9.25,9.26,9.17,9.19,0.08,9.18,3,9.19,3,0.0
8112,1810142,1088,52778749,29.5,29.5,29.05,29.05,0.55,29.05,28,29.1,21,8.8
8114,221029,171,23636646,108.0,108.5,106.0,106.5,2.0,106.0,33,106.5,2,12.75
8131,549500,338,18278423,33.6,33.6,33.0,33.05,0.55,33.05,4,33.1,1,11.28
8150,4751739,2177,152828386,32.5,32.5,32.0,32.3,0.4,32.25,1,32.3,35,9.7
8163,1440847,763,56961613,39.9,40.2,39.1,39.1,1.0,39.1,17,39.55,2,7.74
8201,119561,44,1443432,12.15,12.2,12.0,12.1,0.1,12.05,7,12.1,1,0.0
8210,410511,322,30365314,73.7,74.4,73.0,74.0,0.6,73.9,12,74.0,2,10.57
8213,1866186,719,65563614,35.35,35.35,35.0,35.25,0.2,35.2,24,35.25,13,7.31
8215,897014,468,17651166,20.0,20.0,19.55,19.65,0.4,19.65,4,19.7,25,18.03
8222,80600,32,1512110,18.8,18.8,18.7,18.8,0.0,18.75,14,18.85,1,25.41
8249,51313,34,1108609,21.65,21.65,21.6,21.6,0.15,21.6,5,21.75,15,10.49
8261,177705,145,4915354,27.55,27.85,27.55,27.6,0.25,27.55,11,27.6,2,18.65
