證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
00659R,21000,9,255420,12.17,12.2,12.15,12.15,0.09,12.15,102,12.18,37,0.0
00660,0,0,0,,,,,0.0,25.01,25,25.1,11,0.0
00661,0,0,0,,,,,0.0,27.28,35,27.4,150,0.0
00662,224094,122,7118987,31.75,33.15,31.73,31.81,0.73,31.8,4,32.3,10,0.0
00663L,41000,14,1622160,39.61,39.75,39.27,39.27,0.7,39.24,20,39.26,100,0.0
00664R,1001000,118,12611700,12.58,12.64,12.56,12.64,0.09,12.63,599,12.64,24,0.0
00665L,193000,38,4669980,24.55,24.55,24.05,24.31,0.24,24.26,11,24.28,46,0.0
00666R,82000,4,1140590,13.91,13.91,13.88,13.88,0.06,13.89,32,13.94,11,0.0
00668,21000,12,609950,29.06,29.06,29.02,29.02,0.4,29.02,8,29.04,40,0.0
00668K,100,1,942,9.42,9.42,9.42,9.42,0.12,9.38,8,9.44,8,0.0
00669R,2248001,267,28106852,12.49,12.52,12.49,12.52,0.16,12.52,4,12.53,272,0.0
00670L,658000,271,22281590,33.89,33.97,33.77,33.8,1.23,33.79,4,33.8,10,0.0
00671R,567000,147,7112290,12.53,12.58,12.53,12.57,0.23,12.56,20,12.57,32,0.0
00672L,90361570,14106,1183245910,13.08,13.14,13.07,13.1,0.24,13.09,1320,13.1,296,0.0
00673R,4086001,373,64313065,15.71,15.75,15.71,15.73,0.17,15.73,294,15.74,28,0.0
00674R,28000,13,467550,16.71,16.71,16.67,16.67,0.16,16.67,4,16.69,75,0.0
00675L,45000,28,770420,17.19,17.2,17.01,17.02,0.3,17.02,1,17.03,200,0.0
00676R,1302000,129,8904250,6.84,6.86,6.83,6.86,0.06,6.85,218,6.86,7,0.0
00677U,238935313,12090,1227466042,5.12,5.17,5.11,5.17,0.21,5.16,816,5.17,1187,0.0
00678,482144,40,9904778,20.55,20.57,20.51,20.52,0.2,20.52,6,20.57,2,0.0
00680L,121000,53,3249170,26.84,26.92,26.8,26.92,0.42,26.87,15,26.92,9,0.0
00681R,18000,3,273820,15.25,15.25,15.21,15.21,0.14,15.22,1,15.25,65,0.0
00682U,1000,1,19660,19.66,19.66,19.66,19.66,0.07,19.65,10,19.73,1,0.0
00683L,0,0,0,,,,,0.0,19.89,10,20.02,10,0.0
00684R,18000,6,332720,18.49,18.49,18.47,18.47,0.0,18.41,1,18.47,1,0.0
00685L,205000,16,3090490,15.17,15.17,15.05,15.08,0.22,15.0,12,15.02,10,0.0
00686R,478000,18,3558500,7.43,7.47,7.43,7.46,0.05,7.46,1194,7.47,1214,0.0
00688L,178000,21,4853580,27.3,27.33,27.21,27.33,0.44,27.33,90,27.34,10,0.0
00689R,140000,6,2164800,15.46,15.47,15.46,15.47,0.1,15.08,36,16.29,33,0.0
00690,192408,27,4386431,22.9,22.9,22.7,22.7,0.29,22.43,10,22.7,19,0.0
00691R,2000,2,29900,14.95,14.95,14.95,14.95,0.07,14.9,10,14.95,10,0.0
00692,2389115,512,53107560,22.3,22.3,22.16,22.16,0.17,22.16,113,22.17,92,0.0
00693U,1300000,197,20361220,15.64,15.68,15.64,15.68,0.1,15.67,368,15.68,46,0.0
00700,113899,11,2222048,19.44,19.53,19.43,19.52,0.16,19.49,5,19.5,50,0.0
00701,17270,16,390124,22.66,22.66,22.55,22.55,0.13,22.54,1,22.55,70,0.0
00702,16000,11,328760,20.54,20.57,20.54,20.54,0.31,20.5,1,20.55,53,0.0
00703,234000,77,4453710,19.12,19.12,19.0,19.0,0.31,18.99,9,19.0,2,0.0
00706L,1000,1,18300,18.3,18.3,18.3,18.3,0.04,18.33,1,18.36,100,0.0
00707R,1000,1,19610,19.61,19.61,19.61,19.61,0.05,19.55,10,19.62,10,0.0
00708L,2092001,632,47233822,22.55,22.62,22.52,22.6,0.45,22.6,24,22.61,39,0.0
00709,100000,2,1996000,19.96,19.96,19.96,19.96,0.23,19.97,3,20.01,50,0.0
00710B,392000,129,8122030,20.75,20.75,20.71,20.73,0.1,20.72,18,20.73,22,0.0
00711B,102000,4,2315330,22.67,22.7,22.66,22.7,0.03,22.66,35,22.71,36,0.0
00712,263020,68,4596870,17.49,17.49,17.47,17.48,0.04,17.47,6,17.49,23,0.0
00713,280000,176,9023980,32.5,32.5,32.12,32.17,0.33,32.14,2,32.17,17,0.0
00714,12000,6,273560,22.79,22.82,22.79,22.79,0.12,22.76,5,22.79,49,0.0
00715L,122000,53,2210550,18.13,18.18,18.08,18.14,0.32,18.11,5,18.14,29,0.0
00717,1333178,202,26683177,20.03,20.04,20.0,20.03,0.02,20.02,38,20.03,18,0.0
00728,723025,89,13984622,19.38,19.38,19.29,19.29,0.09,19.29,10,19.31,11,0.0
00730,509349,257,9379616,18.48,18.48,18.4,18.4,0.08,18.39,26,18.4,2,0.0
00731,160000,71,7805100,48.87,48.87,48.65,48.65,0.44,48.63,60,48.65,18,0.0
00732,101000,3,3881480,38.48,38.48,38.43,38.43,0.07,38.33,10,38.47,2,0.0
00733,201000,3,3893400,19.4,19.4,19.37,19.37,0.12,19.25,1,19.37,3,0.0
00735,133000,8,2514460,19.0,19.0,18.84,18.84,0.13,18.81,24,18.86,10,0.0
00736,115000,6,2224850,19.35,19.35,19.31,19.31,0.2,19.26,22,19.31,53,0.0
00737,372898,171,7818121,21.0,21.0,20.93,20.94,0.25,20.93,29,20.94,10,0.0
00738U,2050000,286,41488870,20.2,20.27,20.17,20.27,0.39,20.27,6,20.28,183,0.0
00739,284844,63,5834597,20.51,20.54,20.41,20.49,0.18,20.49,2,20.5,49,0.0
00742,1000,1,20800,20.8,20.8,20.8,20.8,0.05,20.73,25,20.79,25,0.0
00743,64082,19,1290318,20.22,20.25,20.09,20.21,0.24,20.17,22,20.21,19,0.0
00752,6261000,3171,136010209,21.93,21.94,21.67,21.67,0.3,21.67,49,21.68,10,0.0
00753L,525100,141,11281315,21.5,21.64,21.37,21.4,0.63,21.4,1,21.41,15,0.0
00757,1041000,24,20216360,19.44,19.45,19.4,19.4,0.33,19.39,2,19.4,47,0.0
00762,406000,120,9363320,23.06,23.1,23.04,23.06,0.42,23.05,2,23.06,39,0.0
00763U,13000,4,234980,18.05,18.08,18.05,18.08,0.18,18.09,10,18.12,2,0.0
00766L,1500000,205,13659470,9.17,9.17,9.03,9.03,0.28,9.02,2,9.03,23,0.0
00767,105000,9,2197720,21.1,21.1,20.92,20.94,0.42,20.92,3,20.95,1,0.0
00770,6000,4,137120,22.88,22.88,22.82,22.85,0.44,22.81,100,22.85,73,0.0
00771,60000,25,1248450,20.81,20.82,20.8,20.82,0.02,20.81,1,20.82,33,0.0
00774B,2000,2,78760,39.38,39.38,39.38,39.38,0.01,39.33,25,39.44,1,0.0
00774C,0,0,0,,,,,0.0,9.03,25,9.06,10,0.0
00775B,2000,2,92600,46.3,46.3,46.3,46.3,0.19,46.27,25,46.39,5,0.0
00776,0,0,0,,,,,0.0,21.15,25,21.22,10,0.0
00783,1143000,80,19626530,17.2,17.23,17.09,17.22,0.22,17.19,2,17.21,30,0.0
008201,600,4,62070,104.65,104.65,102.65,102.65,2.65,102.65,197,104.2,49,0.0
00830,1297100,368,19348820,14.91,14.96,14.9,14.92,0.29,14.91,16,14.92,29,0.0
00850,4728934,1468,99429140,21.11,21.11,20.95,20.95,0.16,20.95,59,20.96,255,0.0
00851,35000,20,695480,19.89,19.9,19.84,19.84,0.47,19.84,1,19.85,30,0.0
00852L,1023001,164,15341714,15.02,15.03,14.98,14.98,0.36,14.98,44,14.99,302,0.0
01001T,368000,20,5723370,15.51,15.6,15.5,15.55,0.06,15.51,20,15.58,20,0.0
01002T,309000,21,4949210,16.02,16.09,16.0,16.09,0.04,16.02,1,16.09,5,0.0
01003T,46000,10,804530,17.42,17.5,17.37,17.37,0.02,17.37,9,17.52,1,0.0
01004T,758000,30,10232610,13.45,13.52,13.45,13.52,0.03,13.5,69,13.52,11,0.0
01007T,13000,8,214640,16.5,16.52,16.5,16.52,0.02,16.5,58,16.52,69,0.0
01009T,253000,32,2276650,8.95,9.04,8.95,9.0,0.05,9.0,49,9.02,5,0.0
01010T,4000,3,40380,10.1,10.1,10.09,10.09,0.0,10.07,166,10.09,68,0.0
020000,750000,35,3695520,4.92,4.95,4.91,4.91,0.05,4.9,101,4.91,190,0.0
020002,0,0,0,,,,,0.0,13.4,250,13.42,250,0.0
020004,0,0,0,,,,,0.0,21.19,499,21.2,449,0.0
020005,0,0,0,,,,,0.0,20.44,299,20.45,299,0.0
020006,0,0,0,,,,,0.0,20.56,102,20.58,106,0.0
020007,0,0,0,,,,,0.0,20.53,364,20.56,335,0.0
020008,10000,10,102970,10.3,10.3,10.28,10.28,0.03,10.27,400,10.28,400,0.0
1101,10114757,4085,401135124,39.75,39.8,39.5,39.5,0.25,39.5,281,39.55,3,9.36
1101B,20125,15,1072737,53.3,53.4,53.3,53.4,0.0,53.2,73,53.4,114,0.0
1102,5475908,3138,232213990,42.85,43.0,42.25,42.3,0.55,42.3,118,42.35,16,10.14
1103,931927,304,16821373,18.1,18.1,17.95,18.1,0.1,18.05,18,18.1,102,11.31
1104,181317,107,3379127,18.65,18.7,18.55,18.6,0.05,18.6,36,18.65,6,11.01
1108,141245,48,1008165,7.14,7.18,7.1,7.18,0.04,7.18,5,7.19,5,0.0
1109,431737,208,7696494,17.7,18.0,17.6,17.8,0.05,17.75,24,17.85,23,6.43
1110,103451,36,1760276,16.95,17.1,16.95,16.95,0.0,16.9,97,17.0,19,282.5
1201,1490743,721,38060541,25.4,25.75,25.2,25.75,0.3,25.75,26,25.8,92,6.25
1203,70240,31,1854160,26.45,26.45,26.35,26.4,0.0,26.4,2,26.45,2,13.27
1210,1576963,1084,58263070,37.1,37.1,36.8,36.8,0.3,36.8,44,36.85,5,14.1
1213,31280,22,180777,5.8,5.87,5.73,5.87,0.02,5.78,2,5.87,2,0.0
1215,1033912,750,66113468,65.0,65.0,63.5,63.6,1.6,63.6,10,63.7,3,14.32
1216,7935841,3769,574249202,72.6,72.7,72.0,72.0,1.0,72.0,16,72.3,16,21.88
1217,292942,802,2013020,6.9,6.9,6.86,6.88,0.01,6.87,15,6.88,2,52.92
1218,527790,213,10870543,20.5,20.75,20.5,20.5,0.0,20.5,50,20.55,5,20.3
1219,209078,21,3724685,17.8,17.9,17.8,17.9,0.05,17.85,3,17.9,3,0.0
1220,85000,33,843310,9.98,9.98,9.86,9.96,0.02,9.93,2,9.96,1,24.9
1225,36002,32,1335726,37.9,37.9,36.9,37.0,1.1,37.0,1,37.3,3,32.46
1227,572499,528,35452338,62.5,62.5,61.3,62.0,0.6,61.8,10,62.0,35,17.32
1229,901022,742,30879692,34.5,34.5,34.1,34.15,0.3,34.15,8,34.2,7,13.77
1231,220096,189,9168503,41.9,41.9,41.5,41.5,0.3,41.5,15,41.75,3,12.73
1232,60787,73,7460375,122.0,123.0,122.0,123.0,1.5,122.5,2,123.0,12,19.97
1233,20218,19,776303,38.5,38.5,38.3,38.3,0.25,38.3,1,38.4,1,20.93
1234,36001,21,1126281,31.25,31.35,31.25,31.3,0.05,31.3,6,31.35,4,17.2
1235,2700,4,77079,28.75,28.75,28.45,28.45,0.35,28.05,3,28.4,1,98.1
1236,6000,5,78000,13.0,13.0,13.0,13.0,0.0,12.95,1,13.05,2,0.0
1256,111085,163,21212905,194.0,194.0,189.0,191.5,2.5,191.5,1,192.0,1,11.88
1301,3607184,2072,337843584,94.3,94.5,93.1,93.1,1.2,93.1,272,93.5,14,15.19
1303,5157094,2485,356916174,69.2,69.6,69.0,69.0,0.8,69.0,138,69.1,35,16.31
1304,395980,172,5035842,12.8,12.85,12.65,12.7,0.1,12.7,10,12.75,18,19.24
1305,1139008,710,22177249,19.7,19.85,19.3,19.35,0.3,19.35,19,19.4,9,16.68
1307,108753,67,2625757,24.3,24.3,24.0,24.1,0.05,23.95,2,24.1,12,28.35
1308,216994,100,3170961,14.6,14.7,14.6,14.6,0.1,14.6,14,14.7,97,17.38
1309,1079974,259,11909364,11.1,11.1,10.95,10.95,0.2,10.95,35,11.05,9,27.38
1310,3859750,1325,82907673,21.65,21.75,21.3,21.3,0.4,21.3,237,21.35,2,10.05
1312,6807162,1729,121725579,18.0,18.0,17.8,17.9,0.1,17.85,38,17.9,140,6.68
1312A,2000,2,67100,33.3,33.8,33.3,33.8,0.0,33.4,2,33.8,6,0.0
1313,523688,303,5389349,10.35,10.35,10.25,10.25,0.1,10.25,32,10.3,4,0.0
1314,8575809,2103,86844746,10.1,10.2,10.05,10.05,0.05,10.05,322,10.1,66,9.31
1315,143352,93,4851144,33.8,34.75,33.0,34.7,1.1,34.5,8,34.7,9,9.06
1316,272000,138,3502050,12.95,13.0,12.85,12.85,0.1,12.85,2,12.9,1,0.0
1319,912597,506,41438750,45.6,46.15,45.0,45.0,0.65,45.0,48,45.6,1,14.15
1321,1883300,864,59782400,30.45,32.35,30.35,32.1,1.55,31.95,1,32.1,2,0.0
1323,66278,42,2219062,33.7,33.7,33.35,33.5,0.2,33.4,1,33.5,4,10.31
1324,24000,12,236850,9.9,9.9,9.86,9.86,0.07,9.85,3,9.89,1,986.0
1325,18810,17,290793,15.5,15.5,15.45,15.45,0.15,15.45,16,15.5,16,26.19
1326,4752778,3154,412499481,87.2,87.5,86.4,86.4,1.5,86.4,74,86.5,2,14.07
1337,171817,107,981476,5.73,5.73,5.7,5.71,0.02,5.71,7,5.72,3,0.0
1338,178028,154,11447102,65.0,65.0,64.0,64.0,1.1,64.0,34,64.5,9,13.53
1339,163000,123,7153150,43.65,44.15,43.6,44.15,0.5,44.0,6,44.15,5,10.15
1340,376677,260,5987507,16.15,16.15,15.8,15.85,0.4,15.8,7,15.85,7,0.0
1341,10000,9,618200,61.3,62.3,61.3,62.3,1.6,61.2,7,62.3,1,20.43
1402,6624819,2236,188668837,28.5,28.65,28.35,28.35,0.2,28.35,12,28.4,55,14.92
1409,1182181,681,13399000,11.3,11.4,11.3,11.35,0.05,11.3,77,11.35,19,8.35
1410,384572,88,10349175,26.6,27.1,26.55,27.0,0.4,26.95,5,27.0,14,22.88
1413,429375,148,4329033,10.0,10.35,9.8,10.25,0.05,10.1,6,10.25,30,7.32
1414,171419,154,1187482,6.93,7.1,6.89,6.93,0.04,6.93,5,6.98,5,346.5
1416,40693,32,560089,13.8,13.8,13.7,13.75,0.0,13.75,1,13.8,12,12.61
1417,1231962,376,12283240,9.9,10.15,9.86,10.05,0.0,10.05,81,10.1,38,0.0
1418,0,0,0,,,,,0.0,6.53,1,7.15,1,0.0
1419,4045,6,166147,41.05,41.1,41.05,41.1,0.4,41.05,1,41.5,1,36.37
1423,18400,9,192360,10.45,10.5,10.45,10.45,0.0,10.45,12,10.5,15,28.24
1432,31000,23,217900,7.09,7.09,7.0,7.09,0.0,7.01,29,7.12,2,0.0
1434,1481781,721,50856629,34.25,34.45,34.1,34.45,0.0,34.25,24,34.45,69,9.9
1435,171010,58,1028390,5.95,6.12,5.95,6.07,0.11,5.95,9,6.07,2,0.0
1436,12294,10,442353,36.0,36.0,35.9,35.9,0.05,35.85,5,36.3,3,11.85
1437,106300,46,2397150,22.6,22.6,22.5,22.6,0.0,22.55,8,22.6,7,5.39
1438,86000,11,1074300,12.5,12.55,12.3,12.55,0.05,12.5,63,12.6,5,0.0
1439,38211,28,1078089,28.4,28.4,28.15,28.15,0.2,28.15,14,28.2,1,2.99
1440,1783550,554,20053355,11.25,11.35,11.15,11.2,0.05,11.2,8,11.25,67,38.62
1441,152258,111,1387951,9.23,9.23,9.04,9.04,0.14,9.06,2,9.1,5,0.0
1442,580560,170,9204432,16.15,16.15,15.8,16.0,0.15,15.95,2,16.0,17,0.0
1443,41217,17,395960,9.6,9.68,9.56,9.68,0.11,9.57,10,9.68,19,0.0
1444,698054,279,6493828,9.35,9.35,9.28,9.28,0.06,9.28,12,9.31,3,21.09
1445,40201,18,279207,6.97,6.97,6.9,6.97,0.01,6.93,5,6.97,5,0.0
1446,75000,55,2342150,31.35,31.4,31.15,31.3,0.15,31.2,2,31.3,4,0.0
1447,411268,1072,2833212,6.9,6.91,6.86,6.89,0.02,6.89,9,6.9,10,0.0
1449,67000,30,304090,4.4,4.7,4.4,4.6,0.19,4.6,5,4.64,3,12.78
1451,441882,310,9869426,22.65,22.65,22.05,22.2,0.45,22.15,20,22.2,1,15.97
1452,131355,67,2353424,18.0,18.0,17.85,17.9,0.1,17.9,29,18.0,56,12.34
1453,10405,7,83555,8.0,8.0,8.0,8.0,0.01,7.95,4,8.0,13,0.0
1454,40209,6,321998,8.01,8.01,8.0,8.0,0.02,7.89,1,7.99,3,38.1
1455,493678,214,4123685,8.42,8.42,8.32,8.34,0.08,8.34,12,8.35,9,0.0
1456,5069,4,41861,8.27,8.27,8.26,8.26,0.11,8.2,10,8.36,1,21.18
1457,256143,119,3552340,13.8,13.95,13.8,13.95,0.1,13.85,31,13.95,36,9.96
1459,41770,14,284079,6.81,6.81,6.79,6.8,0.01,6.78,1,6.8,2,0.0
1460,164976,104,1666450,10.1,10.15,10.05,10.1,0.05,10.05,193,10.1,8,77.69
1463,38659,32,508415,13.15,13.2,13.15,13.15,0.0,13.1,29,13.15,1,13.84
1464,4466950,2253,116805160,25.7,26.35,25.35,26.3,0.55,26.25,41,26.3,82,22.48
1465,10000,5,142550,14.25,14.3,14.2,14.3,0.05,14.3,2,14.5,4,3.98
1466,3728,3,29511,7.86,7.95,7.86,7.95,0.0,7.86,7,7.95,7,0.0
1467,53421,31,450509,8.49,8.49,8.42,8.42,0.07,8.42,8,8.44,5,60.14
1468,11000,7,109830,9.99,9.99,9.98,9.99,0.0,9.85,1,9.99,2,27.0
1470,0,0,0,,,,,0.0,20.8,1,21.95,3,23.72
1471,144514,62,462880,3.25,3.25,3.17,3.18,0.01,3.18,7,3.2,9,0.0
1472,37105,24,1163041,31.75,31.75,31.05,31.55,0.25,31.2,4,31.6,6,13.78
1473,100000,70,2508900,25.2,25.2,25.0,25.2,0.1,25.15,1,25.2,1,14.57
1474,21742,21,192073,8.85,8.85,8.81,8.84,0.0,8.83,2,8.86,7,32.74
1475,0,0,0,,,,,0.0,5.01,1,5.29,1,0.0
1476,913330,814,370098330,410.0,412.5,400.5,400.5,13.0,400.5,8,402.0,12,25.86
1477,1803591,1338,300494106,165.5,168.5,165.0,165.0,1.0,165.0,180,166.0,2,19.21
1503,63260,67,2829455,44.8,44.85,44.7,44.7,0.1,44.7,2,44.9,2,14.47
1504,4018028,1526,104417766,25.95,26.15,25.8,25.95,0.0,25.95,84,26.0,13,15.26
1506,90360,38,1379207,15.35,15.4,15.15,15.35,0.05,15.1,6,15.35,2,0.0
1507,2516085,126,158893694,62.8,63.8,62.4,63.0,0.6,62.5,4,63.0,2,53.85
1512,54027,24,270502,4.88,5.05,4.88,4.97,0.07,4.97,1,5.03,1,0.0
1513,376384,140,7567614,20.1,20.15,20.1,20.1,0.0,20.1,86,20.15,68,15.95
1514,2421542,612,40732614,16.9,17.0,16.5,16.65,0.25,16.65,4,16.7,16,12.71
1515,1642600,1131,137946819,85.5,85.5,83.2,83.5,2.0,83.5,86,83.8,2,12.14
1516,3000,3,46300,15.3,15.5,15.3,15.5,0.0,15.3,1,15.5,1,44.29
1517,100205,34,917859,9.2,9.2,9.15,9.17,0.01,9.17,1,9.19,15,131.0
1519,228001,148,5908325,26.0,26.1,25.85,25.95,0.0,25.9,1,25.95,8,25.69
1521,54000,50,3465500,64.5,64.5,64.0,64.1,0.5,64.0,7,64.3,4,14.06
1522,1281130,590,38949801,30.55,30.7,30.25,30.6,0.15,30.55,1,30.6,3,15.61
1524,159004,40,1578366,9.95,9.96,9.91,9.96,0.02,9.91,10,9.97,3,9.58
1525,10010,11,536938,53.7,53.7,53.6,53.6,0.2,53.5,5,54.0,1,10.57
1526,214772,152,5663936,26.7,26.7,26.2,26.2,0.4,26.2,20,26.3,3,13.1
1527,317500,262,15669450,49.6,49.8,49.1,49.1,0.5,49.1,15,49.15,4,6.98
1528,129840,55,1163411,8.98,8.98,8.93,8.96,0.02,8.95,10,8.96,15,0.0
1529,273220,154,4740462,17.0,17.7,16.8,17.25,0.45,17.25,2,17.3,4,63.89
1530,4274,5,121530,28.5,28.5,28.4,28.4,0.1,28.35,4,28.45,2,10.52
1531,62521,31,939515,14.9,15.1,14.9,15.1,0.1,15.05,1,15.15,9,33.56
1532,265699,103,8119252,30.75,30.8,30.5,30.55,0.2,30.55,5,30.65,3,7.85
1533,221040,146,8190938,37.25,37.85,36.85,37.25,0.2,36.85,2,37.25,8,14.0
1535,214030,138,7643430,36.0,36.0,35.3,35.75,0.35,35.75,3,35.95,1,42.56
1536,1452800,845,152008000,105.0,106.0,104.0,104.5,1.5,104.5,6,105.0,643,27.07
1537,104631,101,14941546,143.0,143.5,142.5,142.5,0.5,142.5,68,143.0,48,11.68
1538,342,1,1326,,,,,0.0,3.82,5,3.97,1,0.0
1539,129600,101,2561770,19.5,20.0,19.5,19.8,0.25,19.8,10,19.85,1,4.12
1540,149168,76,2851367,19.15,19.2,19.1,19.15,0.05,19.1,15,19.15,9,9.34
1541,20000,14,700450,34.8,35.2,34.8,35.15,0.2,35.15,1,35.2,6,26.63
1558,13265,16,1749245,131.5,132.0,131.5,132.0,0.5,132.0,5,132.5,4,9.46
1560,562014,426,35736080,63.5,64.4,63.0,63.2,0.3,63.2,6,63.3,1,14.53
1568,107000,71,2162800,20.15,20.5,20.15,20.15,0.0,20.15,10,20.2,1,46.86
1582,136800,118,10529558,77.3,77.4,76.6,77.1,0.2,76.9,2,77.1,5,10.42
1583,8000,4,422400,52.8,52.8,52.8,52.8,0.2,52.0,1,52.8,2,11.97
1587,14380,15,247754,17.25,17.25,17.2,17.25,0.05,17.2,6,17.25,1,20.78
1589,471030,290,26323879,55.9,56.2,55.7,55.9,0.0,55.8,9,55.9,2,0.0
1590,1464022,1220,549270760,374.0,378.0,370.5,377.0,7.0,376.5,2,377.0,13,27.46
1592,127061,60,2525859,19.75,20.0,19.7,19.9,0.05,19.7,3,19.9,17,0.0
1598,501636,105,20136709,40.05,40.4,40.05,40.1,0.05,40.05,6,40.1,6,18.48
1603,88060,50,1904248,21.3,21.75,21.3,21.75,0.0,21.65,4,21.75,6,19.08
1604,261579,159,4781762,18.3,18.35,18.2,18.3,0.05,18.25,7,18.35,34,7.32
1605,5821960,1709,83827320,14.45,14.55,14.3,14.3,0.15,14.3,777,14.4,41,7.57
1608,465595,176,4446261,9.55,9.57,9.52,9.55,0.01,9.55,3,9.56,4,0.0
1609,1010997,348,10634466,10.5,10.6,10.45,10.5,0.0,10.45,117,10.5,16,19.81
1611,3352410,960,35493985,10.35,10.75,10.35,10.65,0.3,10.65,82,10.7,117,27.31
1612,255001,67,2676710,10.5,10.6,10.45,10.45,0.05,10.45,55,10.5,2,16.85
1614,170000,96,5009550,29.3,29.7,29.2,29.25,0.05,29.3,2,29.35,8,40.07
1615,91111,33,1519392,16.5,16.75,16.5,16.7,0.2,16.55,4,16.75,13,9.44
1616,64000,18,299010,4.69,4.78,4.62,4.77,0.0,4.65,2,4.77,2,0.0
1617,7000,4,84100,12.0,12.05,12.0,12.05,0.05,12.0,11,12.05,6,11.48
1618,169172,53,1371219,8.15,8.15,8.06,8.15,0.0,8.15,11,8.16,2,0.0
1626,181000,114,5489800,30.6,30.65,30.0,30.25,0.05,30.2,14,30.35,3,12.6
1701,288354,134,5441936,18.8,18.95,18.8,18.9,0.1,18.85,9,18.9,17,15.24
1702,255382,218,12787838,50.1,50.3,49.95,50.2,0.3,50.2,18,50.3,7,13.28
1707,230457,225,43448873,188.0,189.5,188.0,189.0,1.0,188.5,4,189.0,17,19.4
1708,52014,33,1328604,25.55,25.65,25.5,25.5,0.1,25.5,5,25.6,1,17.23
1709,80467,47,1027492,12.8,12.8,12.75,12.75,0.05,12.7,56,12.75,10,34.46
1710,679386,575,15259239,22.55,22.55,22.35,22.4,0.15,22.4,3,22.5,5,28.35
1711,431659,190,6916494,16.2,16.2,15.95,16.0,0.1,16.0,5,16.05,1,20.51
1712,285926,189,5324071,18.6,18.7,18.55,18.6,0.0,18.55,128,18.6,4,11.77
1713,2178,5,39504,18.15,18.15,18.15,18.15,0.05,17.95,4,18.15,1,25.93
1714,683905,226,4787240,6.98,7.02,6.98,7.01,0.03,7.01,22,7.02,103,22.61
1717,423415,300,10782014,25.5,25.55,25.35,25.35,0.2,25.35,35,25.5,10,15.94
1718,1001118,409,8171238,8.15,8.19,8.13,8.13,0.02,8.13,52,8.15,18,0.0
1720,55432,34,1784937,32.25,32.3,32.1,32.1,0.15,32.1,13,32.2,1,15.0
1721,113900,69,966316,8.5,8.56,8.41,8.5,0.1,8.49,2,8.53,5,60.71
1722,9574973,4940,474055455,49.0,50.0,48.65,49.3,0.15,49.3,22,49.35,35,21.16
1723,82496,94,10322496,125.5,126.0,125.0,125.0,1.0,125.0,10,125.5,13,18.94
1724,46163,21,588194,12.7,12.85,12.65,12.8,0.05,12.7,2,12.75,1,17.3
1725,10000,7,145100,14.5,14.55,14.5,14.5,0.0,14.45,13,14.7,1,13.68
1726,10290,8,725305,70.9,70.9,70.3,70.7,0.4,70.2,4,70.9,1,18.36
1727,68631,30,826902,12.1,12.15,12.0,12.05,0.05,12.05,7,12.1,1,27.39
1730,114100,106,8225747,72.8,72.8,71.8,72.0,0.8,72.0,5,72.1,9,10.84
1731,81152,45,1073206,13.25,13.25,13.2,13.25,0.0,13.2,12,13.25,14,18.93
1732,25010,17,250501,10.05,10.1,10.0,10.1,0.0,10.0,9,10.1,8,34.83
1733,151028,98,4111965,27.25,27.35,27.15,27.15,0.2,27.15,13,27.2,2,32.71
1734,61585,45,1176893,19.1,19.15,19.05,19.1,0.05,19.1,5,19.15,6,0.0
1735,55061,38,948002,17.65,17.9,16.9,17.1,0.4,17.0,4,17.15,1,28.5
1736,5381247,3672,411760466,77.9,78.0,75.2,76.8,2.3,76.8,1,76.9,8,23.85
1737,244850,155,7914030,32.35,32.4,32.25,32.3,0.05,32.3,2,32.4,7,19.23
1760,301401,256,25671043,84.5,85.9,84.5,85.5,1.0,85.3,6,85.5,1,32.88
1762,1289001,810,43416233,34.0,34.15,33.2,33.2,0.05,33.2,171,33.35,1,9.54
1773,143087,126,11935769,84.4,84.4,82.8,83.7,0.7,83.7,3,84.0,1,14.56
1776,39138,34,575871,14.8,14.8,14.6,14.65,0.2,14.65,1,14.75,1,73.25
1783,211001,133,5283674,25.4,25.45,24.85,24.9,0.55,24.9,2,24.95,4,29.64
1786,291249,209,20417702,70.9,71.6,69.4,70.0,0.9,70.0,11,70.2,1,39.55
1789,234127,140,5407174,23.1,23.2,23.0,23.1,0.0,23.1,11,23.15,19,59.23
1802,1002567,756,11551965,11.55,11.6,11.5,11.5,0.1,11.5,345,11.6,147,0.0
1805,35064,19,309230,8.8,8.9,8.8,8.81,0.19,8.8,15,8.81,1,0.0
1806,57593,35,371941,6.48,6.51,6.43,6.47,0.0,6.42,14,6.47,14,0.0
1808,1976372,781,133353168,67.1,67.9,66.8,66.8,0.8,66.8,24,67.0,12,36.3
1809,4408959,1440,57519075,12.75,13.25,12.75,12.9,0.25,12.9,121,12.95,16,0.0
1810,105720,36,800258,7.62,7.62,7.56,7.6,0.02,7.57,7,7.6,5,0.0
1817,18000,15,634850,35.35,35.35,35.15,35.3,0.05,35.25,1,35.3,2,11.89
1902,251479,104,5047480,20.2,20.2,19.9,20.15,0.0,20.05,2,20.15,11,31.48
1903,16447,25,514480,31.0,31.5,31.0,31.45,0.4,31.1,1,31.35,1,0.0
1904,2436629,1062,43675175,18.2,18.25,17.65,17.65,0.4,17.65,170,17.85,3,10.2
